umur,min3sd,min2sd,min1sd,nolsd,plus1sd,plus2sd,plus3sd,jenis_kelamin,standard
35,84.85001991,87.56691239,90.25884691,92.97682641,95.75215106,98.53107383,101.2941375,Laki-laki,Lokal
36,85.26784559,88.0483133,90.79115349,93.5533257,96.35091675,99.12216373,101.8626684,Laki-laki,Lokal
37,85.59207405,88.44842284,91.30003857,94.14387724,96.96175474,99.7072152,102.417801,Laki-laki,Lokal
38,86.02206798,88.92722928,91.86312378,94.75411356,97.56810015,100.2768517,102.9524162,Laki-laki,Lokal
39,86.73944197,89.65384948,92.52399577,95.37688455,98.15183918,100.8232698,103.4600053,Laki-laki,Lokal
40,87.72208255,90.5110214,93.23458874,95.99234352,98.7071382,101.3414992,103.9352433,Laki-laki,Lokal
41,88.90738892,91.44383157,93.95391695,96.5995932,99.24268805,101.8286395,104.3739972,Laki-laki,Lokal
42,89.83405315,92.30653617,94.65758073,97.20329363,99.76512937,102.2817058,104.7730081,Laki-laki,Lokal
43,90.30665467,92.86512273,95.26341668,97.76704769,100.2602923,102.6961699,105.1295883,Laki-laki,Lokal
44,90.5693597,93.17945955,95.71379045,98.23454789,100.6974258,103.066895,105.4415641,Laki-laki,Lokal
45,90.87746661,93.48290967,96.05687347,98.59398794,101.056039,103.3909566,105.7074427,Laki-laki,Lokal
46,91.31837794,93.85209741,96.38973119,98.89251817,101.3476515,103.6698055,105.9265954,Laki-laki,Lokal
47,92.01110464,94.38253327,96.7974016,99.19907851,101.6100755,103.9084536,106.0992659,Laki-laki,Lokal
48,92.96763447,95.1468652,97.28871406,99.55644091,101.8790096,104.111873,106.2264211,Laki-laki,Lokal
49,93.55463273,95.69277563,97.77610284,99.95467424,102.1610859,104.2814007,106.3096669,Laki-laki,Lokal
50,93.77860267,95.9833725,98.20792193,100.3491638,102.4304179,104.4142243,106.3514903,Laki-laki,Lokal
51,94.32064376,96.4657688,98.63068546,100.7010369,102.6505354,104.5066781,106.3559322,Laki-laki,Lokal
52,95.26701537,97.17418357,99.08554554,100.9972226,102.8018621,104.5592726,106.3295901,Laki-laki,Lokal
53,96.31652399,97.93854959,99.5416421,101.2407236,102.8926428,104.5805765,106.2826926,Laki-laki,Lokal
54,97.09216827,98.52497691,99.91882473,101.4334311,102.9507612,104.5885058,106.2299405,Laki-laki,Lokal
55,97.43167158,98.79078522,100.173498,101.5801776,103.0119657,104.6094026,106.1908438,Laki-laki,Lokal
56,97.73804373,99.0218189,100.3559285,101.7105078,103.1173665,104.6760728,106.1894154,Laki-laki,Lokal
57,98.06167633,99.30020705,100.5306425,101.8864847,103.3186679,104.8257543,106.2532662,Laki-laki,Lokal
58,97.81492993,99.27351293,100.7080269,102.1899182,103.6815065,105.0984159,106.4123081,Laki-laki,Lokal
59,96.71100378,98.85519952,100.8984483,102.7040356,104.2800205,105.5352544,106.6973375,Laki-laki,Lokal
